Kod	"Klartext"
021	"Plexuspapillom"
026	"Plexuscarcinom"
031	"Saknar pad-text"
043	"misstänkt talgkörtelca"
044	"Preca.adenom"
045	"Mucoepidermoid ca"
046	"Mal blandsvulst"
051	"Adenoma phyll,leydigiom"
053	"Misstänkt adenoid-cystisk"
054	"Tekom"
055	"Cylindrom"
056	"Aden cyst ca,sark phyll,g"
061	"Levercellsadenom"
063	"Misstänkt hepatocellulär"
064	"Seminom in situ"
066	"Aciniccellsca,hepatocell,"
073	"Mistänkt cholangiocellulär ca"
076	"Mucoepiderm,cholangio,alv"
083	"misstänkt carcinoid"
085	"Carcinoid"
086	"Carcinoid"
091	"Adenom"
092	"Saknar pad-text"
093	"Misstänkt adenocarcinom"
094	"Adenoca in situ,papillom"
095	"Adenom uns"
096	"Adenocarcinom"
111	"Blåspapillom"
113	"Atypiska celler cytprov"
114	"Cancer in situ"
115	"Övergångsep.papillom"
116	"Övergångsep.ca,papillär c"
123	"Misstänkt basalcellsca typ mixte"
126	"Bc type mixte"
143	"In situ cytol,dyskarios"
144	"Preca,bowen,sen.ker"
146	"Skivepitelca"
166	"Schmincke-Regaud"
173	"Misstänkt malignt melanom"
174	"Mal melanom in situ"
176	"Malignt melanom"
183	"Misstänkt småcellig cancer"
186	"Oatcell-småcelligca"
193	"Misstänkt carcinom, odiff mm"
194	"Precancerösa förändringar i körtelepitel"
196	"Odiff ca,oatcells"
203	"Misstänkt KLL"
206	"Lymf leukemi"
213	"Misstänkt myelofibros akut"
216	"Myelofibros,myeloscleros"
221	"Misstänkt kronisk myeloisk leukemi"
223	"Dysmyelopoetiskt syndrom"
226	"Myel leukemi"
256	"Monocytleuk"
276	"Pcv"
286	"Erythremia acuta"
293	"Misstänkt leukemi UNS"
296	"Leukemi nud"
303	"Misstänkt Non-Hodgkin UNS"
306	"Lymfosarkom"
316	"Retikelcellssarkom"
323	"Misstanke om Hodgkin's sjukdom"
326	"Mb hodgkin"
333	"Myelommisstanke"
336	"Myelomatos"
346	"Giant foll lymphosarcoma"
353	"Misstänkt mycosis fungoides"
356	"Mycosis fungoides"
381	"Angioimmunobl lymfadenopa"
383	"Misstänkt T-cellslymfom"
386	"Lymfom an spec"
391	"Monoklonal gammapati"
393	"Misstänkt malignt lymfom"
396	"Mb waldenström"
401	"Ganglioneurom"
406	"Ganglioneurom"
416	"Neuroblastom"
426	"Esthesio-neuroepiteliom"
436	"Retinoblast,medulloblast"
441	"Paragangliom,ben"
446	"Phaeocromocyt,mal paragan"
451	"Neurinom"
453	"Neurofibrom benignum"
456	"Mal neurinom,neurofibrosa"
461	"Meningiom"
466	"Mal meningiom"
471	"Benignt gliom"
473	"Glios"
475	"Astrocytom i-ii,gliom"
476	"Astrocytom iii-iv,gliobla"
481	"Subependymom"
485	"Ependymom"
486	"Mal ependymom"
501	"Haemangiom"
505	"Sarkoma kaposi"
506	"Hemangiosark,hemangioendo"
511	"Angioretikulom lindau"
531	"Glomustumör"
533	"Misstänkt hemangiopericytom"
536	"Hemangiopericytom"
546	"Lymfangiosark"
563	"Misstänkt sarkoma kaposi"
566	"Sarcoma kaposi"
663	"Epiteloidt leiomyom"
666	"Leiomyosarkom"
676	"Rhabdomyosarkom"
686	"Abrikossoff mal"
696	"Myogent sarkom"
701	"Fibromatos"
701/3	"Aggresiv fibromatos"
703	"Inget malignt"
704	"Atyp fibroxanthom"
705	"Dermatofibrosark"
706	"Fibrosarkom"
715	"Fibröst histi lågmal"
711	"Myxom"
716	"Myxosarkom"
721	"Intracran lipom"
723	"Misstänkt liposarcom"
726	"Liposarkom"
731	"Saknar pad-text"
736	"Chondrosarkom"
741	"Osteoclastom"
746	"Mal jättecellst,osteoblas"
756	"Ewings sarkom"
766	"Osteogent sarkom"
771	"Adenomatoid t"
773	"Mesoteliom misst"
776	"Mesothel,mal synovialom"
793	"Misstänkt sarkom"
796	"Mesenkymal t,odiff sark"
801	"Hydatid mola"
733	"Misstänkt kondrosarkom"
803	"Misstänkt coriocarcinom"
806	"Chorioca,mola dest"
821	"Dermoidcysta"
823	"Moget teratom"
826	"Embr ca,mal terat,mal der"
841	"Thymom"
846	"Mal thymom"
865	"Ameloblastom"
875	"endo-lymfatisk stromamyos"
876	"Stromacellssark,mal mesen"
881	"Craniopharyngiom"
886	"Wilms t,hepatoblast"
896	"Carcinosark,mixed mesoder"
981	"Pinealom"
986	"Mal pinealom"
991	"Pad saknas ben"
893	"Misstänkt mesodermal/müllersk tumör"
993	"Pad saknas susp mal"
994	"precancerös tumör,ospecificerad"
996	"Pad saknas mal"
999	"Ca cutis uns"
443	"Misstänkt Merkelcellstumör"
541	"Lymfangiomatosis"
543	"Lymfangiosarkom, misst"
824	"Germinalcellstumör intratubulär (IGCNU)"
023	"plexuspapillom choriott"
