Kod	"Sjukhus"
10010	"Sabbatsbergs sjukhus"
10011	"S:t Görans sjukhus"
10012	"S:t Eriks sjukhus"
10013	"Södersjukhuset"
101039	"VC Liljeholmen"
101113	"Södra stn, vc, sth"
10199	"Priv mott Stockholm"
10200	"Roslagstulls sjukhus"
10348	"Betaniastiftelsens sjukhus"
10481	"Ersta sjukhus, Stockholm"
10483	"Sophiahemmet"
10500	"Rålambshovs sjukhus"
10501	"Långbro sjukhus"
10502	"Beckomberga sjukhus"
10503	"Nortulls sjukhus"
11001	"Karolinska sjukhuset"
11002	"Huddinge sjukhus"
11010	"Danderyds sjukhus"
11011	"Södertälje sjukhus"
11012	"Norrtälje sjukhus"
11013	"Löwenströmska sjukhuset"
11014	"Nacka sjukhus"
111090	"Sollentuna vårdcentral"
11996	"Rättsmed sth län"
12001	"Akademiska sjukhuset"
12010	"Lasarettet i Enköping"
12011	"Samariterhemmets sjukhus"
12020	"Kungsgärdets sjukhus"
12199	"Priv läk Uppsala län"
12410	"Tunåsens sjukhus"
12411	"Tierps sjukhus"
12412	"Östhammars sjukhus"
12481	"Elisabeth sjukhus"
12500	"Ullåkers sjukhus"
13010	"Eskilstuna lasarett"
13011	"Nyköpings lasarett"
13012	"Kullbergska sjukhuset"
131017	"Trosa vårdcentral"
13540	"Karsuddens sjukhus"
21001	"Regionsjukhuset i Linköping"
21011	"Lasarettet i Finspång"
21013	"Centrallasarettet i Norrköping"
160209	"Tengene"
148033	"Sankt Pauli Göteborg"
158107	"Fors i Trollhättan"
21014	"Lasarettet i Motala"
21031	"Sjukhuset i Söderköping"
21198	"Icke privat läkarmott Östergötlands län"
21199	"Privat läkarmott östergötlands län"
21500	"Birgittas sjukhus i Vadstena"
21996	"Polismyndighet Linköping"
22010	"Jönköpings lasarett"
22011	"Eksjö-Nässjö lasarett"
220110	"Lasarettet Jönköping"
22012	"Värnamo lasarett"
221002	"Eksjökliniken, Eksjö"
221018	"Distriktläk mott Nässjö"
221042	"Huskvarna vårdcentral"
22198	"Annan institution Jönköpings län"
22199	"Priv läkare Jönköpings län"
23010	"Växjö lasarett"
211041	"VC Lyckorna Motala"
23011	"Ljungby lasarett"
23500	"S:t Sigfrids sjukhus"
24010	"Västerviks sjukhus"
25010	"Kalmar lasarett"
