Kod 	Klartext
33400 	Cysta enkel
71620 	Cysta kolloid
72850 	Aktinisk keratos med grav atypi/dysplasi (motsvarande cancer in situ)
80000 	Tumor UNS
80001 	Tumör, osäkert om benign eller malign
80002 	Precancerös ospec tumör
80003 	Malign tumör ospecificerad/PAD saknas
80101 	Misstänkt precancerösa förändringar i körtelepitel
80102 	Carcinom, in situ, UNS
80103 	Carcinom, malign epitelial tumör
80123 	Carcinom, storcelligt
80133 	Storcelligt neuroendokrint lungcancer
80201 	Misstänkt odiff carcinom eller cancer
80203 	Lågt differentierat carcinom/cancer
80213 	Carcinom/ Anaplastisk cancer UNS
80311 	Misstänkt jättecellcancer
80313 	Jättecellscarcinom
80401 	Tumorlet UNS
80413 	Carcinom, småcelligt, UNS
80423 	Oatcellscarcinom
80433 	Carcinom, småcelligt, fusiformt och UNS
80443 	Carcinom, småcelligt, intermediärt
80463 	Lämplig text, tack!
80503 	Carcinom, papillärt, UNS
80512 	Verrukös skivepitel in situ
80513 	Verruköst carcinom (skivepitelcancer)
80701 	Misstänkt skivepitel
80702 	Intraepidermalt eller intraepitelialt carcinom (skivepitelcancer)
80703 	Carcinom, skivepitel, UNS
80763 	Skivepitelcarcinom med mikroinvasion
80771 	CIN III (endast cytologiverifierad)
80121 	Misstänkt carcinom, storcelligt
80202 	Carcinom UNS, in situ
80323 	Spindelcellscarcinom/Spolcelligt carcinom
80333 	Sarkomatoitt carcinom
80411 	Misstänkt carcinom småcelligt UNS (C34)
80421 	Misstänkt oatcellscarcinom
80461 	Carcinom, icke småcelligt, misstänkt
80511 	Verruköst carcinom, misstänkt malign (skivepitelcancer)
80353 	Carcinom med osteoklastliknande jätteceller
80772 	CIN/VIN/VAN/AIN III (skivepitel in situ)
80802 	Erythroplasia Queyrat (skivepitel)
80812 	Morbus Bowen
80823 	Lymfoepiteliom eller lymfoepiteliomlikt carcinom
80983 	Adenoitt basaloitt carcinom
81022 	Trichilemmalt carcinom in situ
81023 	Hårfollikelcarcinom
81103 	Malignt pilomatricom
81200 	Papillom utan atypi Blåspapillom
81201 	Urotelilat papillom, UNS
81202 	Urotelialt carcinom, in situ
81203 	Transitional cell cancer UNS, Övergångsepielcancer, Urotelial cancer
812031 	Urotelialt carcinom, UNS, inklusive cytologi
812032 	Urotelialt carcinom, UNS, inklusive cytologi
812033 	Urotelialt carcinom, UNS, inklusive cytologi
81211 	Näspapillom, äkta (inverterat)/Schneiders papillom
81213 	Schneiders carcinom
81231 	Misstänkt basaliomatös cancer
81233 	Basaloid cancer (C21.1)
81241 	Misstänkt kloakogen cancer
81243 	Kloakogen cancer (C21.2)
81301 	Urotelial tumör, papillär med lågmalign potential (LMP)
81302 	Urotelialt carcinom, papillärt(ej inv)UNS Ta-tumör
813021 	Urotelialt carcinom, papillärt, icke invasivt
813022 	Urotelialt carcinom, papillärt, icke invasivt
813023 	Urotelialt carcinom, papillärt, icke invasivt
81303 	Papillär övergångsepitelcancer
813031 	Urotelialt carcinom, papillärt, invasivt
813032 	Urotelialt carcinom, papillärt, invasivt
813033 	Urotelialt carcinom, papillärt, invasivt
81400 	Adenom i parathyreoidea eller hypofys
81401 	Adenom atypisk
81402 	Adenocarcinom in situ
81403 	Adenocarcinom
81413 	Carcinom, skirröst
81423 	Linitis plastica
81443 	Adenocarcinom, intestinal typ
81482 	PIN III/prostatisk intraepitelial neoplasi, grad III (körtelepitel)
81500 	Adenom av endokrin typ (C25.4)
81501 	Ö-cellstumör oklar om benign eller maglign
81503 	Ö-cellscarcinom (C25.4)
81510 	Insulom (C25.4)
81511 	Misstänkt insulom (Ö-cellstumör) Histologiskt malign C 25.4
81513 	Insulom, histopatologiskt malign (C25.4)
81520 	Glukagonom (C25.4)
81521 	Glukagonom UNS (C75.9)
81523 	Glukagonom, malignt (C25.4)
81531 	G-cellstumör UNS
81533 	G-cellstumör malign
81543 	Blandat ö-cells och exokrint adenocarcinom
81553 	Vipom C24/hist kod 091 t o m 2003-12-31.
81601 	Misstänkt cholangiocellulär cancer, gallgångscancer
81603 	Biliärt carcinom (C22.1)
81621 	Misstänkt Klatskin-tumör
81623 	Klatskintumör (C24.0)
80833 	Basaloid skivepitel cancer
81453 	Adenocarcinom, diffus typ
81473 	Basalcellsadenocarcinom
81551 	Vipom UNS
81561 	Somatostatinom, UNS
81563 	Somatostatinom, malign
81581 	ACTH-producerande tumör
81632 	Adenocarcinom, pankreatobiliär typ in situ (C24.1)
81633 	Adenocarcinom, pankreatobiliär typ (C24.1)
81700 	Levercellsadenom
81701 	Misstänkt hepatocellulär cancer
81703 	Hepatocellulärt carcinom, UNS
81801 	Misstänkt hepatocellulär och cholangiocellulär cancer
81803 	Hepatocellulärt och cholangiocellulärt carcinom blandat
82001 	Misstänkt adenoid-cystisk cancer
82003 	Carcinom, adenoidcystiskt
82012 	Kribriformt carcinom in situ
82013 	Carcinom, kribriformt, UNS
82101 	Misstänkt adenomatös polyp
82102 	Adenomatös polyp med grava atypier
82112 	Cancer tubulär in situ
82113 	Adenocarcinom, tubulärt
82200 	Familjär polypos, precancerös adenomatos
82201 	Misstänkt familjär polypos, adenocarcinom
82203 	Familjär polypos, adenocarcinom
82213 	Adenocarcinom (utgående från adenomatösa polyper i colon o/erektum hos pat med m
82301 	Misstänkt solid cancer
82303 	Carcinom, solidt, UNS
82401 	Carcinoid i appendix vermiformis
82403 	Carcinoid (exkl appendix)
82413 	Endokrint carcinom, seratoninprocucerande med carcinoidsyndrom
82423 	ECL-om (enterokromaffinlik cell carcinoid), mal
82433 	Gobletcell carcinoidliknande
82441 	Misstänkt blandtumör carcinoid- adenocarcinom
82443 	Adenocarcinom, blandat carcinoid och adenocarcinom
82461 	Misstänkt neuroendokrina tumörer
82463 	Carcinom, neuroendokrint
82471 	Misstänkt merkelcellstumör
82473 	Merkelcellstumör /-carcinom
82481 	Apudom
82501 	Misstänkt bronkiolärt-alveolärt addenocarcinom Pulmonary adenomatos
82503 	Adenocarcinom, bronkiolärt-alveolärt (bronkiolärt carcinom)
82553 	Lämplig text, tack!
82601 	Misstänkt papillärt adenocarcinom
82602 	Papillärt adenocarcinom in situ
82603 	Adenocarcinom, papillärt
82611 	Misstänkt villöst adenom med grav atypi
82612 	Villöst adenom med grav atypi/cancer in situ
82631 	Misstänkt tubovillöst adenom med grav atypi
82632 	Tubulovillöst adenom med grav atypi/cancer in situ
82633 	Adenoca i tubovillöst adenom
82710 	Prolaktinom (C75.1)
82900 	Oxyfilt adenom (onkocytom) C75.0, C75.1)
82901 	Misstänkt onkocytom
82903 	Adenocarcinom, onkocytiskt/oxyfilt (Onkocytom, malignt)
83101 	Misstänkt klarcellscancer
83103 	Carcinom av mesonefroid typ, klarcellig
83121 	Misstänkt hypernefrom
83123 	Hypernefrom/Njurcellscarcinom/Renalcellscarcinom
83131 	Klarcelligt adenofibrom Borderlinetumör
83133 	Adenocarcinofibrom, klarcelligt
