CancerRegShortName;CancerRegId;CancerRegName;Distribuerbar;POS_ADDRESS_COUNTRY;POS_ADDRESS_STREET;POS_ADDRESS_ZIP;POS_ADDRESS_CITY;UnitDescription;POS_SHORTNAME;UnitId;UnitCode;POS_CONTACT_EMAIL;POS_CONTACT_NAME;POS_CONTACT_PHONE;UnitName;POS_DIRECTOR_EMAIL;POS_DIRECTOR_NAME;POS_DIRECTOR_PHONE;ParentDescription;ParentShortName;ParentPosId;ParentPosCode;ParentDeliveryCode;ParentPosName;IsReporting;Leveranskod;PosLevel;OrgEnabled;ORG_SHORTNAME;OrgId;OrgName;PosEnabled;PosId;PosCode;PosNameWithCode;PosName;RegionId;RegionName;TopPosDescription;TopPosShortName;TopPosId;TopPosCode;TopPosName
;;;True;;Västra Hamngatan 10-12;452 37;Strömstad;Inläst från fil med historiska enheter;;1562;51032;;;;NU-sjukv. Strömstads;;;;;5;2;5;;OC Väst;False;51032;2;True;OC;1;OC;False;1562;5 - 51032;OC Väst (5) - NU-sjukv. Strömstads (51032);OC Väst - NU-sjukv. Strömstads;;;;5;2;5;OC Väst
;;;True;;Edsvägen 3;462 35;Vänersborg;Inläst från fil med historiska enheter;;1563;52016;;;;V-borg-Trollh/Vänerparkens VC;;;;;5;2;5;;OC Väst;False;52016;2;True;OC;1;OC;False;1563;5 - 52016;OC Väst (5) - V-borg-Trollh/Vänerparkens VC (52016);OC Väst - V-borg-Trollh/Vänerparkens VC;;;;5;2;5;OC Väst
;;;False;;Storgatan 72;62350;HEMSE;Inläst från fil med historiska enheter;;1564;00011;;;;"LINDHOLM, TORBJÖRN";;;;;1;6;1;;OC Sthlm/Gotland;False;26199;2;True;OC;1;OC;False;1564;1 - 00011;"OC Sthlm/Gotland (1) - LINDHOLM, TORBJÖRN (00011)";"OC Sthlm/Gotland - LINDHOLM, TORBJÖRN";;;;1;6;1;OC Sthlm/Gotland
;;;False;;"Munkbron 11, 2 tr";11128;STOCKHOLM;Inläst från fil med historiska enheter;;1565;00067;;;;LÄKARHUSET MUNKBRON;;;;;1;6;1;;OC Sthlm/Gotland;False;11199;2;True;OC;1;OC;False;1565;1 - 00067;OC Sthlm/Gotland (1) - LÄKARHUSET MUNKBRON (00067);OC Sthlm/Gotland - LÄKARHUSET MUNKBRON;;;;1;6;1;OC Sthlm/Gotland
;;;False;;;;;Inläst från fil med historiska enheter;;1566;10001;;;;SERAFIMERLAS;;;;;1;6;1;;OC Sthlm/Gotland;False;10001;2;True;OC;1;OC;False;1566;1 - 10001;OC Sthlm/Gotland (1) - SERAFIMERLAS (10001);OC Sthlm/Gotland - SERAFIMERLAS;;;;1;6;1;OC Sthlm/Gotland
;;;False;;Box 6401;11382;STOCKHOLM;Inläst från fil med historiska enheter;;1567;10010;;;;SABBATSBERGS SJUKHUS;;;;;1;6;1;;OC Sthlm/Gotland;False;10010;2;True;OC;1;OC;False;1567;1 - 10010;OC Sthlm/Gotland (1) - SABBATSBERGS SJUKHUS (10010);OC Sthlm/Gotland - SABBATSBERGS SJUKHUS;;;;1;6;1;OC Sthlm/Gotland
;;;False;;Polhemsg 50;11282;STOCKHOLM;Inläst från fil med historiska enheter;;1568;10012;;;;S:T ERIKS SJUKHUS;;;;;1;6;1;;OC Sthlm/Gotland;False;10012;2;True;OC;1;OC;False;1568;1 - 10012;OC Sthlm/Gotland (1) - S:T ERIKS SJUKHUS (10012);OC Sthlm/Gotland - S:T ERIKS SJUKHUS;;;;1;6;1;OC Sthlm/Gotland
;;;False;;Lasarettsvägen 4;13183;NACKA;Inläst från fil med historiska enheter;;1569;10014;;;;NACKA ASIH;;;;;1;6;1;;OC Sthlm/Gotland;False;11198;2;True;OC;1;OC;False;1569;1 - 10014;OC Sthlm/Gotland (1) - NACKA ASIH (10014);OC Sthlm/Gotland - NACKA ASIH;;;;1;6;1;OC Sthlm/Gotland
;;;False;;;;;Inläst från fil med historiska enheter;;1570;10021;;;;;;;;;1;6;1;;OC Sthlm/Gotland;False;10021;2;True;OC;1;OC;False;1570;1 - 10021;OC Sthlm/Gotland (1) -  (10021);OC Sthlm/Gotland - ;;;;1;6;1;OC Sthlm/Gotland
;;;False;;;;;Inläst från fil med historiska enheter;;1571;10022;;;;;;;;;1;6;1;;OC Sthlm/Gotland;False;10022;2;True;OC;1;OC;False;1571;1 - 10022;OC Sthlm/Gotland (1) -  (10022);OC Sthlm/Gotland - ;;;;1;6;1;OC Sthlm/Gotland
