key; value
101001; Falsterbo
101002; Maglarp
101003; Trelleborg
101004; Dalköpinge
101005; Gislöv
101006; Kyrkoköpinge
101007; Östra Torp
101008; Lilla Isie
101009; Simlinge
101010; Södra Åby
101011; Hemmesdynge
101012; Äspö
101013; Lilla Beddinge
101014; Tullstorp
101015; Skanör
101016; Räng
101017; Skegrie
101018; Bodarp
101019; Stora Hammar
101020; Vellinge
101021; Fuglie
101022; Mellan-Grevie
101023; Västra Tommarp
101024; Västra Vemmerlöv
101025; Hammarlöv
101026; Gylle
101027; Bösarp
101028; Östra Grevie
101029; Alstad
101030; Östra Klagstorp
101031; Källstorp
101032; Anderslöv
101033; Grönby
101034; Önnarp
101035; Västra Vemmenhög
101036; Östra Vemmenhög
101037; Skivarp
101038; Svenstorp
101039; Gärdslöv
101040; Solberga
101041; Örsjö
101042; Skurup
101043; Västra Nöbbelöv
101044; Snårestad
101045; Sjörup
101046; Katslösa
101047; Balkåkra
101048; Ystad
101049; Bjäresjö
101050; Hedeskoga
101051; Bromma
101052; Öja
101053; Stora Herrestad
101054; Ingelstorp
101055; Stora Köpinge
101056; Glemminge
101057; Tosterup
101058; Valleberga
101059; Löderup
101060; Borrby
101061; Hörup
101062; Hannas
101063; Östra Hoby
101064; Eskilstorp
101065; Gessie
101066; Tygelsjö
101067; Hököpinge
101068; Södra Åkarp
101069; Arrie
101070; Västra Klagstorp
101071; Bunkeflo
101072; Kulladal
101073; Oxie
101074; Fosie
101075; Västra Ingelstad
101076; Törringe-Västra Kärrstorp
101077; Svedala
101078; Skabersjö
101079; Börringe
101080; Hyby
101081; Slimminge
101082; Villie
101083; Skårby
101084; Blentarp
101085; Sövde
101086; Sövestad
101087; Borrie
101088; Högestad
101089; Baldringe
101090; Ramsåsa
101091; Övraby
101092; Benestad
101093; Ullstorp
101094; Tomelilla
101095; Tryde
101096; Kverrestad
101097; Spjutstorp
101098; Bollerup
101099; Östra Ingelstad
101100; Hammenhög
101101; Vallby
101102; Östra Herrestad
101103; Smedstorp
101104; Stiby
101105; Bolshög
101106; Östra Nöbbelöv
101107; Östra Tommarp
101108; Järrestad
101109; Simris
101110; Simrishamn
101111; Gladsax
101112; Limhamn
101113; Hyllie
101114; Eriksfält
101115; Malmö Sankt Johannes
101116; Möllevången
101117; Slottsstaden
101118; Malmö Sankt Petri
101119; Sofielund
101120; Västra Skrävlinge
101121; Husie
101122; Malmö Sankt Pauli
101123; Kirseberg
101124; Burlöv
101125; Södra Sallerup
101126; Bjärshög
101127; Särslöv
101128; Mölleberga
101129; Bara
101130; Tottarp
101131; Görslöv
101132; Staffanstorp
101133; Genarp
101134; Kyrkheddinge
101135; Esarp
101136; Bonderup
101137; Veberöd
101138; Everlöv
101139; Ilstorp
101140; Björka
101141; Södra Åsum
101142; Röddinge
101143; Vanstad
101144; Tolånga
101145; Tranås
101146; Onslunda
101147; Lövestad
101148; Fågeltofta
101149; Sankt Olof
101150; Östra Vemmerlöv
101151; Rörum
101152; Södra Mellby
101153; Lomma
101154; Flädie
101155; Fjelie
101156; Borgeby
101157; Uppåkra
101158; Knästorp
101159; Lunds Helgeand
101160; Lunds domkyrkodistrikt
101161; Stora Råby
101162; Lunds Sankt Peters kloster
101163; Norra Nöbbelöv
101164; Lunds Allhelgona
101165; Östra Torn
101166; Lunds Sankt Hans
101167; Bjällerup
101168; Hardeberga
101169; Dalby
101170; Södra Sandby
101171; Hällestad
101172; Silvåkra
101173; Vomb
101174; Revinge
101175; Harlösa
101176; Öved
101177; Brandstad
101178; Östra Kärrstorp
101179; Östraby
101180; Vollsjö
101181; Fränninge
101182; Eljaröd
101183; Andrarum
101184; Vitaby
101185; Brösarp
101186; Ravlunda
101187; Barsebäck
101188; Löddeköpinge
101189; Hög
101190; Hofterup
101191; Västra Karaby
101192; Dagstorp
101193; Lackalänga-Stävie
101194; Kävlinge
101195; Torn
101196; Stora Harrie
101197; Södervidinge
101198; Lilla Harrie
101199; Virke
101200; Gårdstånga-Holmby
101201; Örtofta
101202; Borlunda-Skeglinge
101203; Eslöv
101204; Skarhult
101205; Hammarlunda
101206; Hurva
101207; Östra Strö
101208; Gudmuntorp
101209; Västerstad
101210; Högseröd
101211; Lyby
101212; Hörby
101213; Långaröd
101214; Östra Sallerup
101215; Hörröd
101216; Huaröd
101217; Maglehem
101218; Degeberga
101219; Vittskövle
101220; Sankt Ibb
101221; Landskrona
101222; Tofta
101223; Härslöv
101224; Saxtorp
101225; Annelöv
101226; Billeberga
101227; Källs Nöbbelöv
101228; Asmundtorp
101229; Sireköpinge
101230; Tirup
101231; Norrvidinge
101232; Norra Skrävlinge
101233; Reslöv
101234; Östra Karaby
101235; Felestad
101236; Västra Strö
101237; Torrlösa
101238; Trollenäs
101239; Bosarp
101240; Bosjökloster
101241; Stehag
101242; Fulltofta
101243; Södra Rörum
101244; Äspinge
101245; Svensköp
101246; Linderöd
101247; Östra Sönnarslöv
101248; Västra Vram
101249; Östra Vram
101250; Everöd
101251; Lyngsjö
101252; Köpinge
101253; Åhus
101254; Raus
101255; Glumslöv
101256; Kvistofta
101257; Fjärestad
101258; Bårslöv
101259; Ottarp
101260; Halmstad
101261; Ekeby
101262; Svalöv
101263; Kågeröd
101264; Konga
101265; Ask
101266; Billinge
101267; Röstånga
101268; Munkarp
101269; Höör
101270; Hallaröd
101271; Häglinge
101272; Tjörnarp
101273; Äsphult
101274; Djurröd
101275; Träne
101276; Skepparslöv
101277; Vä
101278; Norra Åsum
101279; Rinkaby
101280; Gustav Adolf
101281; Nymö
101282; Trolle-Ljungby
101283; Helsingborgs Gustav Adolf
101284; Helsingborgs Maria
101285; Filborna
101286; Välluv
101287; Frillestad
101288; Hässlunda
101289; Kropp
101290; Mörarp
101291; Risekatslösa
101292; Bjuv
101293; Norra Vram
101294; Stenestad
101295; Västra Sönnarslöv
101296; Riseberga
101297; Färingtofta
101298; Norra Rörum
101299; Norra Mellby
101300; Matteröd
101301; Brönnestad
101302; Nävlinge
101303; Önnestad
101304; Vinslöv
101305; Norra Strö
101306; Kristianstads Heliga Trefaldighet
101307; Färlöv
101308; Fjälkestad
101309; Nosaby
101310; Fjälkinge
101311; Österslöv
101312; Kiaby
101313; Gualöv
101314; Ivetofta
101315; Ivö
101316; Allerum
101317; Kattarp
101318; Viken
101319; Fleninge
101320; Västra Broby
101321; Strövelstorp
101322; Björnekulla
101323; Kvidinge
101324; Klippan
101325; Östra Ljungby
101326; Vedby
101327; Perstorp
101328; Västra Torup
101329; Finja
101330; Hässleholm
101331; Ignaberga
101332; Stoby
101333; Sörby
101334; Gumlösa
101335; Gryt
101336; Kviinge
101337; Knislinge
101338; Oppmanna
101339; Näsum
101340; Höganäs
101341; Brunnby
101342; Väsby
101343; Jonstorp
101344; Farhult
101345; Välinge
101346; Ängelholm
101347; Rebbelberga
101348; Höja
101349; Össjö
101350; Tåstarp
101351; Munka Ljungby
101352; Rya
101353; Röke
101354; Hörja
101355; Vankiva
101356; Farstorp
101357; Norra Sandby
101358; Hästveda
101359; Emmislöv
101360; Östra Broby
101361; Hjärsås
101362; Vånga
101363; Barkåkra
101364; Förslöv
101365; Hjärnarp
101366; Tåssjö
101367; Örkelljunga
101368; Skånes Fagerhult
101369; Norra Åkarp
101370; Vittsjö
101371; Verum
101372; Glimåkra
101373; Västra Karup
101374; Torekov
101375; Hov
101376; Grevie
101377; Båstad
101378; Visseltofta
101379; Osby
101380; Loshult
101381; Örkened
102001; Sölvesborg
102002; Ysane
102003; Mjällby
102004; Hasslö
102005; Aspö
102006; Sturkö
102007; Torhamn
102008; Gammalstorp
102009; Elleholm
102010; Mörrum
102011; Karlshamn
102012; Listerby
102013; Förkärla
102014; Nättraby
102015; Karlskrona stadsdistrikt
102016; Ramdala
102017; Jämshög
102018; Asarum
102019; Hällaryd
102020; Åryd
102021; Bräkne-Hoby
102022; Ronneby
102023; Edestad
102024; Hjortsberga
102025; Lösen
102026; Augerum
102027; Jämjö
102028; Kristianopel
102029; Kyrkhult
102030; Ringamåla
102031; Backaryd
102032; Tving
102033; Fridlevstad
102034; Rödeby
102035; Flymen
102036; Öljehult
102037; Eringsboda
102038; Sillhövda
103001; Ås
103002; Ventlinge
103003; Södra Möckleby
103004; Gräsgård
103005; Segerstad
103006; Smedby
103007; Kastlösa
103008; Hulterstad
103009; Mörbylånga
103010; Resmo
103011; Stenåsa
103012; Vickleby
103013; Sandby
103014; Torslunda
103015; Gårdby
103016; Norra Möckleby
103017; Algutsrum
103018; Glömminge
103019; Runsten
103020; Långlöt
103021; Högsrum
103022; Gärdslösa
103023; Bredsättra
103024; Räpplinge
103025; Borgholm
