"";"X";"Region";"Arbetskod_Sjukhus";"Arbetskod_klinik";"Sjukhus_Enhet";"Klinik";"Postadress";"Postnr";"Ort";"Leveranskod_sjukhus";"Leveranskod_klinik";"Referens_INCA";"Inaktiv"
"1";1974;5;42198;16;"Icke priv läk mott H";"                    ";"";"";"";42198;16;"";"JA"
"2";2010;5;42198;301;"Icke priv läk mott norra Halland";"Kir klin            ";"";"";"";42198;301;"OC Väst (5) - Icke priv läk mott norra Halland (42198) - Kir klin (301)";""
"3";2014;5;42198;999;"Icke priv läk mott norra Halland";"Klinik saknas       ";"";"";"";42198;999;"OC Väst (5) - Icke priv läk mott norra Halland (42198) - Klinik saknas (999)";""
"4";2013;5;42199;211;"Privat läk mott norra Halland";"Hud klin            ";"";"";"";42199;999;"OC Väst (5) - Privat läk mott norra Halland (42199) - Hud klin (211)";""
"5";1987;5;42199;NA;"Privat läk mott Hall";"                    ";"";"";"";42199;NA;"";"JA"
"6";2014;5;42314;999;"Falkenbergs sjuh VC";"Klinik saknas       ";"Urmakaregatan 2";"311 30";"Falkenberg";42314;999;"OC Väst (5) Falkenbergs sjhus VC  (42314) - Klinik saknas (999)";""
"7";1974;5;42314;16;"VC i Falkenbergs sju";"                    ";"Urmakaregatan 2";"311 30";"Falkenberg";42314;16;"";"JA"
"8";2014;5;50199;211;"Privat läk mott Gbg";"Hud klin            ";"";"";"";50199;999;"OC Väst (5) - Privat läk mott Gbg (50199) - Hud klin (211)";""
"9";2014;5;500001;211;"Läkarhuset S Vägen 2";"Hud klin            ";"Södra Vägen 27";"411 35";"Göteborg";50199;999;"OC Väst (5) - Läkarhuset S Vägen 2 (500001) - Hud klin (211)";""
"10";2010;5;500003;211;"Hagakliniken F:a Lån";"Hud klin            ";"Första Långgatan 16";"413 28";"Göteborg";50199;999;"OC Väst (5) - Hagakliniken F:a Lån (500003) - Hud klin (211)";""
"11";2014;5;52016;999;"Vänerparkens VC";"Klinik saknas       ";"Edsvägen 3";"462 35 ";"Vänersborg";52016;999;"OC Väst (5) - Vänerparkens VC (52016) - Klinik saknas (999)";""
"12";2007;5;52016;451;"V-borg-Trollh/Vänerp";"Kvinnoklin          ";"Edsvägen 3";"462 35 ";"Vänersborg";52016;451;"OC Väst (5) - Vänerparkens VC (52016) - Kvinnoklin (451)";""
