key value
140 "Läpp"
141 "Tunga"
142 "Spottkörtel"
143 "Munbotten"
144 "Munnen, annan eller ospecificerad del"
145 "Mellansvalget"
146 "Näs-svalgrummet"
147 "Svalget bakom struphuvudet"
148 "Svalget, ospecificerat ställe"
150 "Matstrupe"
151 "Magsäck"
152 "Tunntarm"
153 "Tjocktarm"
154 "Ändtarm och anus"
155 "Lever och gallvägar"
156 "Levercancer, ospecificerat"
157 "Bukspottkörtel"
158 "Bukhinna"
160 "Mellanöra, näshåla och bihålor"
161 "Struphuvud och stämband"
162 "Lunga, luftstrupe och bronker"
163 "Lungcancer, ospecificerad"
164 "Bindvävsrum mellan lungorna (mediasti"num)
170 "Bröst"
171 "Livmoderhals (cervix uteri)"
172 "Livmoderkropp (corpus uteri)"
173 "Moderkaka (placenta)"
174 "Livmoder, ospecificerat ställe"
175 "Äggstock, äggledare och breda livmode"rbanden
176 "Kvinnligt könsorgan"
177 "Prostata (blåshalskörtel)"
178 "Testikel"
179 "Manligt könsorgan"
180 "Njure och njurbäcken"
181 "Urinvägar utom njure"
190 "Malignt melanom i huden"
191 "Tumör i huden, ej malignt melanom"
192 "Öga, ögonhåla och tårkörtel"
193 "Hjärna och övriga nervsystemet"
194 "Sköldkörtel"
195 "Endokrin körtel"
196 "Skelettet"
197 "Bindväv och annan mjuk vävnad"
199 "Ospecificerad lokalisation"
200 "Lymfatisk och blodbildande vävnad"
201 "Hodgkins sjukdom"
202 "Tumör i lymfatisk vävnad"
203 "Multipelt myelom, plasmocytom"
204 "Lymfatisk leukemi"
205 "Myeloisk leukemi"
206 "Monocytleukemi"
207 "Annan leukemi och ospecificerad"
208 "Polycytemia vera"
209 "Myelofibros"
