Län;Bokstav;Kod;Yta (km_);Folkmängd;Inv/km_;Residensstad;Inrättat;Ordning från N till S (efter residensstaden)
 Blekinge län;K;10;2 941;152 670;51,9;Karlskrona;1683;20
 Dalarnas län;W;20;28 194;276 564;9,8;Falun;1634[1];6
 Gotlands län;I;9;3 140;57 405;18,3;Visby;1678 (?);16
 Gävleborgs län;X;21;18 191;276 487;15,2;Gävle;1762;5
 Hallands län;N;13;5 454;303 777;55,7;Halmstad;1719;19
 Jämtlands län;Z;23;49 443;126 157;2,6;Östersund;1810;3
 Jönköpings län;F;6;10 475;338 712;32,3;Jönköping;1687;14
 Kalmar län;H;8;11 171;233 310;20,9;Kalmar;1634;18
 Kronobergs län;G;7;8 458;185 594;21,9;Växjö;1674;17
 Norrbottens län;BD;25;98 911;248 562;2,5;Luleå;1810;1
 Skåne län;M;12;11 027;1 260 920;114,3;Malmö;1997;21
 Stockholms län;AB;1;6 490;2 119 760;326,6;Stockholm;1968;10
 Södermanlands län;D;4;6 060;274 241;45,3;Nyköping;1683;12
 Uppsala län;C;3;8 209;341 143;41,6;Uppsala;1634;7
 Värmlands län;S;17;17 583;273 097;15,5;Karlstad;1779;8
 Västerbottens län;AC;24;55 432;259 876;4,7;Umeå;1638;2
 Västernorrlands län;Y;22;21 678;242 032;11,2;Härnösand;1762;4
 Västmanlands län;U;19;5 146;255 848;49,7;Västerås;1634;9
 Västra Götalands län;O;14;23 942;1 598 115;66,7;Göteborg;1998;15
 Örebro län;T;18;8 517;282 653;33,2;Örebro;1634;11
 Östergötlands län;E;5;10 562;433 142;41;Linköping;1634;13
