usesjhkod; sjukhus; s_administration; Förvaltning; Administration
53013; Skövde; 530141; Skaraborgs Sjukhus; 53014
53010; Falköping; 530142; Skaraborgs Sjukhus; 53014
53011; Lidköping; 530143; Skaraborgs Sjukhus; 53014
53012; Mariestad; 530144; Skaraborgs Sjukhus; 53014
50001; SU/Sahlgrenska; 510011; Sahlgrenska Universitetssjukhuset; 51001
51011; SU/Mölndal; 510012; Sahlgrenska Universitetssjukhuset; 51001
50010; SU/Östra; 510013; Sahlgrenska Universitetssjukhuset; 51001
52014; Dalslands sjukhus; 510131; NU-sjukvården; 51013
51031; Lysekils sjukhus; 510132; NU-sjukvården; 51013
52017; NÄL i Trollhättan; 510133; NU-sjukvården; 51013
51032; Strömstads sjukhus; 510134; NU-sjukvården; 51013
51010; Uddevalla sjukhus; 510135; NU-sjukvården; 51013
52011; SÄS Borås; 510141; Södra Älvsborgs Sjukhus; 51014
52013; SÄS Skene; 510142; Södra Älvsborgs Sjukhus; 51014
50070; Lundby sjukhus; 500701; Lundby sjukhus; 50070
50071; Frölunda sjukhus; 500711; Frölunda Specialistsjukhus; 50071
51012; Kungälvs sjukhus; 510121; Kungälvs sjukhus; 51012
52012; Alingsås lasarett; 520121; Alingsås lasarett; 52012
500004; Angereds Närsjukhus; 500001; Angereds närsjukhus; 50000
