Kod 	Klartext
0 	Hela riket
00 	Riket
000000 	Obefintlig
010201 	Björkö-Arholma
010202 	Väddö
010301 	Singö
010302 	Häverö
010303 	Edebo
010304 	Ununge
010401 	Edsbro
010402 	Knutby
010403 	Bladåker
010404 	Faringe
010501 	Almunge
010601 	Fasterna
010602 	Rimbo
010603 	Rö
010604 	Skederid
010605 	Husby-sjuhundra
010606 	Gottröra
010607 	Närtuna
010701 	Malsta
010702 	Lohärad
010703 	Estuna
010704 	Söderby-karl
010705 	Roslags-bro
010706 	Vätö
010801 	Rådmansö
010802 	Frötuna
010901 	Blidö
011001 	Länna
011003 	Riala
011101 	Lagga
011102 	Alsike
011103 	Vassunda
011104 	Knivsta
011105 	Östuna
011106 	Husby-långhundra
011301 	Odensala
011302 	Husby-ärlinghundra
011303 	Skånela
011304 	Norrsunda
011305 	Skepptuna
011306 	Lunda
011307 	Vidbo
011401 	Ed
011402 	Hammarby
011403 	Fresta
011501 	Vallentuna
011502 	Markim
011503 	Orkesta
011504 	Frösunda
011505 	Kårsta
011506 	Vada
011507 	Össeby-Garn
011508 	Angarn
011601 	Kårsta
011602 	Vada
011603 	Össeby-Garn
011604 	Angarn
011701 	Östra Ryd
011702 	Österåker
011703 	Ljusterö
011704 	Roslags-Kulla
011901 	Möja
011902 	Djurö
011903 	Nämdö
012001 	Värmdö
012002 	Möja
012003 	Djurö
012004 	Nämdö
012005 	Ingarö
012006 	Gustavsberg
012101 	Ingarö
012102 	Gustavsberg
012201 	Boo
012301 	Järfälla
012302 	Järfälla
012305 	Skepptuna
012401 	Hilleshög
012402 	Skå
012403 	Sånga
012404 	Färentuna
012501 	Munsö
012502 	Adelsö
012503 	Ekerö
012504 	Lovö
012505 	Hilleshög
012506 	Skå
012507 	Sånga
012508 	Färentuna
012601 	Trångsund
012602 	Trångsund
012701 	Tumba
012702 	Grödinge
012703 	Tumba
012704 	Salem
012801 	Salem
012901 	Grödinge
013101 	Turinge
013201 	Vårdinge
013202 	Överjärna
013203 	Ytterjärna
013301 	Sorunda
013401 	Torö
013402 	Ösmo
013501 	Västerhaninge
013502 	Muskö
013601 	Österhaninge
013603 	Utö
013604 	Ornö
013605 	Dalarö
013606 	Västerhaninge
013607 	Muskö
013801 	Tyresö
013901 	Bro
013902 	Låssa
013903 	Kungsängen
013904 	Västra Ryd
013905 	Håbo-Tibble
013906 	Håtuna
016001 	Täby
016201 	Danderyd
016301 	Sollentuna
016401 	Saltsjöbaden
018001 	Storkyrkoförs.
018002 	Klara
018003 	Kungsholm
018004 	Sankt Göran
018005 	Matteus
018006 	Gustav Vasa
018007 	Matteus
018008 	Johannes
018009 	Engelbrekt
018010 	Hedvig Eleonora
018011 	Oscar
018012 	Oscar
018013 	Sofia
018014 	Katarina
018015 	Katarina
018016 	Högalid
018017 	Skärholmen
018018 	Brännkyrka
018019 	Vantör
018020 	Enskede
018021 	Skarpnäck
018022 	Farsta
018023 	Bromma
018024 	Essinge
018025 	Västerled
018026 	Kista
018027 	Hässelby
018028 	Essinge
018029 	Västerled
018030 	Kista
018031 	Vällingby
018032 	Hägersten
018033 	Hägersten
018034 	Kista
018035 	Vällingby
018036 	Skarpnäck
018038 	Hässelby
018039 	Hägersten
018040 	Skärholmen
018041 	Spånga
018042 	Kista
018101 	Västertälje
018102 	Östertälje
018103 	Tveta
018104 	Enhörna
018105 	Turinge
018106 	Vårdinge
018107 	Överjärna
018108 	Ytterjärna
018109 	Taxinge
018110 	Hölö
018111 	Mörkö
018112 	Västertälje
018201 	Nacka
018202 	Saltsjöbaden
018203 	Boo
018301 	Sundbyberg
018401 	Solna
018402 	Råsunda
018501 	Danderyd
018601 	Lidingö
018701 	Vaxholm
018702 	Östra ryd
018703 	Österåker
018704 	Ljusterö
018705 	Roslags-kulla
018801 	Norrtälje
018802 	Björkö-arholma
018803 	Väddö
018804 	Singö
018805 	Häverö
018806 	Edebo
018807 	Ununge
018808 	Edsbro
018809 	Fasterna
018810 	Rimbo
018811 	Rö
018812 	Skederid
018813 	Husby-sjuhundra
018814 	Gottröra
018815 	Närtuna
018816 	Malsta
018817 	Lohärad
018818 	Estuna
018819 	Söderby-karl
018820 	Roslags-bro
018821 	Vätö
018822 	Rådmansö
018823 	Frötuna
018824 	Blidö
018825 	Länna
018826 	Riala
018901 	Östhammar
018902 	Forsmark
018903 	Valö
018904 	Börstil
018905 	Hökhuvud
018906 	Harg
018907 	Öregrund
018908 	Gräsö
019101 	Sigtuna
019102 	Sankt olof
019103 	Sankt per
019104 	Haga
019105 	Odensala
019106 	Husby-ärlinghundra
019107 	Skånela
019108 	Norrsunda
019109 	Skepptuna
019110 	Lunda
019111 	Vidbo
019201 	Nynäshamn
019202 	Sorunda
019203 	Torö
019204 	Ösmo
020201 	Björkö-arholma
020202 	Väddö
020301 	Singö
020302 	Häverö
020303 	Edebo
020304 	Ununge
020401 	Edsbro
020402 	Knutby
020403 	Bladåker
020404 	Faringe
020500 	Almunge
020501 	Almunge
020601 	Fasterna
020602 	Rimbo
020603 	Rö
020604 	Skederid
020605 	Husby-sjuhundra
020606 	Gottröra
020607 	Närtuna
020701 	Malsta
020702 	Lohärad
020703 	Estuna
020704 	Söderby-karl
020705 	Roslags-bro
020706 	Vätö
020801 	Rådmansö
020802 	Frötuna
020900 	Blidö
020901 	Blidö
021001 	Länna
021002 	Roslags-kulla
021003 	Riala
021101 	Lagga
021102 	Alsike
021103 	Vassunda
021104 	Knivsta
021105 	Östuna
021106 	Husby-långhundra
021201 	Husby-långhundra
021202 	Gottröra
021203 	Närtuna
021204 	Skepptuna
021205 	Lunda
021206 	Vidbo
021301 	Odensala
021302 	Husby-ärlinghundra
021303 	Skånela
021304 	Norrsunda
021306 	Lunda
021307 	Vidbo
021401 	Ed
021402 	Hammarby
021403 	Fresta
021501 	Vallentuna
021502 	Markim
021503 	Orkesta
021504 	Frösunda
021601 	Kårsta
