Kod 	Klartext
B941 	Sena effekter av virusencefalit
C000 	överläpp yttersida
C001 	underläpp yttersida
C002 	läpp uns yttersida
C003 	överläpp insida
C004 	underläpp insida
C005 	läpp uns insida
C006 	mungipa läppkommisur
C008 	mult läpptumör
C009 	läpp uns
C019 	tunga bakre tredjedel
C020 	tunga översida
C021 	tunga kant-spets
C022 	tunga undersida
C023 	tunga främre del
C024 	tungtonsill
C028 	mult tungtumör
C029 	tunga uns
C030 	överkäke tandkött
C031 	underkäke tandkött
C038 	Tandkött mult
C039 	tandkött uns
C040 	munbotten främre del
C041 	munbotten lateral del
C048 	mult munbottentumör
C049 	munbotten uns
C050 	hårda gommens slemhinna
C051 	mjuka gommen slemhinna
C052 	uvula (gomseglet)
C058 	mult gomtumör
C059 	gom slemhinna uns
C060 	kind slemhinna uns
C061 	muningång kind-läppfåra
C062 	retromolära ytan
C068 	mult muntumör
C069 	munhåla uns
C079 	öronspottkörtel
C080 	submandi-submaxi körtel
C081 	sublingualiskörtel
C088 	mult stora spottkörtlar
C089 	stora spottkörtlar uns
C090 	fossa tonsillaris
C091 	gombågar främre-bakre
C098 	mult tonsilltumör
C099 	tonsill uns
C100 	vallecula epiglottica
C101 	främre epiglottis mm
C102 	laterala orofarynx
C103 	bakre orofarynx
C104 	brankialvecket mm
C108 	mult orofarynxtumör
C109 	orofarynx uns
C110 	svalg, övre vägg
C111 	svalg, bakre vägg
C112 	svalg, sidovägg
C113 	svalg, främre vägg
C118 	mult rinofarynxtumör
C119 	rinofarynx uns
C129 	fossa piroformis
C130 	hypopharynx postkrikoid
C131 	aryepiglottiska vecket
C132 	bakre hypofarynxvägg
C138 	mult hypofarynxtumör
C139 	hypofarynx uns
C140 	svalg uns
C141 	svalg laryngofarynx
C142 	waldeyers ring
C148 	läpp el munhåla el svalg
C150 	matstrupe cervikal del
C151 	matstrupe thorakal del
C152 	matstrupe abdominal del
C153 	matstrupe övre tredjedel
C154 	matstrupe mellersta
C155 	matstrupe nedre tredjed
C158 	matstrupe mult lok
C159 	matstrupe uns
C160 	cardia
C161 	magsäck, fundus
C162 	magsäck, corpus
C163 	magsäck: antrum
C164 	magsäck: pylorus
C165 	magsäck: curvatura minor
C166 	magsäck: curvatura major
C168 	magsäck mult lok
C169 	magsäck uns
C170 	duodenum
C171 	jejunum
C172 	ileum tunntarm nedre del
C173 	meckels divertikel
C178 	mult tunntarm
C179 	tunntarm uns
C180 	caecum
C181 	appendix
C182 	ascendens
C183 	flexura hepatica
C184 	transversum
C185 	flexura lienalis
C186 	descendens
C187 	sigmoideum
C188 	mult i colon
C189 	colon uns
C199 	recto-sigmoideum
C209 	rectum uns
C210 	anus uns
C211 	analkanalen
C212 	kloakogena zonen
C218 	mult i rectum-anus
C220 	lever
C221 	intrahepatisk gallgång
C229 	lever uns
C239 	vesica felleae
C240 	extrahepatiska gallvägar
C241 	ampulla vateri
C248 	mult gallvägssystemet
C249 	gallvägssystemet uns
C250 	pancreas caput
C251 	pancreas corpus
C252 	pancreas cauda
C253 	pancreas ductus
C254 	langerhanska öarna
C257 	pancreas annan spec lok
C258 	mult pancreas uns
C259 	pancreas uns
C260 	tarmkanal ej spec lok
