Kod	"Klartext"
011	"Karolinska pat"
015	"Benmärgslab KS"
017	"Karolinska cyt"
031	"Danderyds pat"
041	"Sabbatsberg pat"
047	"Sabbatsberg cyt"
051	"S:t Görans pat"
061	"S:t Eriks pat"
071	"SöS pat"
081	"Huddinge pat"
087	"Huddinge cyt"
117	"Hudinge cyt"
121	"Akademiska Uppsala pat"
127	"Akademiska Uppsala cyt"
131	"Eskilstuna pat"
211	"Linköping pat"
217	"cytologi,Linköping"
221	"Norrköpings pat"
227	"Norrköping cyt"
231	"Jönköping pat"
241	"Växjö pat"
251	"Kalmar pat"
281	"Kristianstad pat"
308	"Malmö oral pat"
411	"Lund pat"
417	"Lund pat"
421	"Halmstad pat"
425	"Halland Kem lab"
301	"Patologavd MAS"
307	"Cytologavd MAS"
271	"Karlskrona patologi och cytologi"
427	"Halmstad cyt"
431	"Patologen Helsingborg"
501	"SU/Sahlgrenska pat"
504	"Su/Östra pat"
505	"SU/Sahlgrenska Kem lab"
507	"SU/Sahlgrenska cyt"
508	"Oral patologi"
511	"Trollhättan pat"
515	"Kem lab Bohuslän"
517	"NÄL cyt"
521	"Borås pat"
525	"Kem lab Älvsborg"
527	"Borås cyt"
531	"Unilab Skövde pat"
535	"Skövde Kem lab"
537	"Skövde cyt"
541	"Karlstad pat"
545	"Kem lab Värmlands län"
547	"Karlstad cyt"
551	"Örebro pat"
561	"Västerås patolog"
571	"Falu pat"
575	"Falu cytolog"
611	"Gävle pat"
621	"Sundsvall pat"
625	"Sundsvall kem lab"
627	"Sundsvall cyt"
629	"Sundsvall cyt/pat"
631	"Östersund pat"
635	"Östersund kem lab"
637	"Östersund cyt"
639	"Östersund cyt/pat"
640	""
641	"Umeå pat"
645	"Umeå kem lab"
647	"Umeå cyt"
648	"Umeå oral pat"
649	"Umeå cyt/pat"
651	"Boden/Sunderby pat"
655	"Boden kem lab"
657	"Boden cyt"
659	"Boden cyt/pat"
665	"Luleå kemlab"
711	"Mas pat"
811	"Medilab Täby"
817	"Stockholm cyt"
827	"Sophia cyt"
841	"Medialab, Malmö pat"
847	"Medialab, Malmö cyt"
851	"Medilab Täby"
857	"Medilab Täby Cyt"
861	"Carlanderska pat"
921	"Rättsmedicin Lund"
931	"Rättsläkaren GBG"
941	"Umeå rättsläkarst"
991	"Okänd/utländsk patolog"
997	"Okänd/utländsk cytolog"
999	"Pat saknas"
yyy	"text"
867	"Cytlog lab Carlanderska"
