Kod 	Klartext
87462 	"Mucosalt lentiginöst melanom in situ*"
26160 	"Nasalt gliom"
33400 	"Enkla cystor"
49160 	"Glios (OBS! kodas benign)"
71620 	"Kolloidcysta"
72850 	"Aktinisk keratos, senil keratos med stark atypi"
72900 	"Kolesteatom"
77260 	"Castlemans sjukdom"
77860 	"Langerhans cell histiocytos, Eosinofilt granulom"
77910 	"Histiocytos X"
77920 	"Hand-Schüller-Christians sjukdom"
80000 	"Benign oklassificerad tumör"
80001 	"Ospecifierad malign/benign tumör"
80002 	"Precancerös ospec tumör"
80003 	"Malign tumör ospecificerad"
80101 	"Misstänkt precancerösa förändringar i körtelepitel"
80102 	"Precancerösa förändringar i körtelepitel"
80103 	"Carcinom, malign epitelial tumör"
80123 	"Storcellig cancer"
80201 	"Misstänkt odifferentierat carcinom eller cancer"
80203 	"Odifferentierat carcinom eller cancer"
80213 	"Anaplastisk cancer UNS"
80311 	"Misstänkt jättecellscancer"
80313 	"Jättecellscancer"
80401 	"Tumor let"
80413 	"Småcellig cancer"
80423 	"Oatcellscancer, småcellig odifferentierad cancer"
80431 	"misstänkt småcellig cancer"
80433 	"Småcellig cancer av intermediär typ"
80501 	"Äkta näspapillom"
80443 	"Carcinom, småcelligt, intermediärt"
80463 	"Carcinom, icke småcelligt"
80502 	"Pappillär cancer in situ"
80503 	"Papillär cancer"
80512 	"Verrucös cancer in situ"
80513 	"Verrucös cancer"
80701 	"Misst skivepitelcancer"
80702 	"Skivepitelcancer in situ"
80703 	"Skivepitelcancer"
80802 	"Erythroplasia Queyrat"
80812 	"Morbus Bowen"
80823 	"Lymfoepiteliom, schminketumor"
80903 	"Basalcellscancer med dokumenterad metastas"
80941 	"Misstänkt basalcellscancer typ mixte"
80943 	"Basalcellscancer typ mixte"
80953 	"Metatypisk hudcancer"
81103 	"Malignt pilomatrixom"
81200 	"vergångsepitelpapillom"
81201 	"Atypiskt papillom grad I"
80983 	"Adenoid basal carcinoma"
80811 	"Misst Mb Bowen"
80763 	"Skivepitelcarcinom med mikroinvasion"
80772 	"AIN III anal intraepitelial neoplasi grad III (skivepitel)"
81023 	"Hårfollikelcarcinom"
81202 	"Urotelial cancer in situ"
81203 	"Urotelial cancer, vergångsepitelcancer, Transitional cell cancer"
81231 	"Misstänkt basaliomatös cancer"
81233 	"Basaliomatös cancer"
81241 	"Misstänkt kloakogen cancer"
81243 	"Kloakogen cancer"
81251 	"Atypiska celler i cytologprov (utan samtidig histopatologi)"
81301 	"Papillär urotelial ca grad 1, utan infiltrativ växt"
81303 	"Papillär övergångsepitelcancer"
81400 	"Adenom i parathyreodea eller hypofys"
81401 	"Misstänkt adenocarcinom UNS"
81402 	"Adenocarcinom in situ"
81403 	"Adenocarcinom UNS"
81407 	"Bronkialadenom UNS"
81413 	"Skirrös cancer"
81423 	"Linitis plastica"
81211 	"Näspapillom, äkta (inverterat)/Schneiders papillom"
81213 	"Schneiders carcinom"
813021 	"Urotelialt carcinom, papillärt, icke invasivt"
813022 	"Urotelialt carcinom, papillärt, icke invasivt"
813031 	"Urotelialt carcinom, papillärt, invasivt"
813032 	"Urotelialt carcinom, papillärt, invasivt"
813033 	"Urotelialt carcinom, papillärt, invasivt"
81482 	"PIN III/prostatisk intraepitelial neoplasi, grad III (körtelepitel)"
812031 	"Urotelialt carcinom, UNS, inklusive cytologi"
812032 	"Urotelialt carcinom, UNS, inklusive cytologi"
812033 	"Urotelialt carcinom, UNS, inklusive cytologi"
81500 	"Adenom av endokrin typ (föres som malignt)"
81501 	"Misstänkt Ö-cellscarcinom"
81503 	"Ö-cellscarcinom"
81510 	"Insulom (Ö-cellstumör), föres som malign (ICDO C25.4)"
81511 	"Misstänkt insulom (Ö-cellstumör), histologiskt malign (ICDO C"
81513 	"Insulom (Ö-cellstumör), histologiskt malign (ICDO C25.4)"
81531 	"Gastrinom"
81533 	"Gastrinom, malignt"
81553 	"Vipom"
81601 	"Misstänkt cholangiocellulär cancer, gallgångscancer"
81603 	"Cholangiocellulär cancer, gallgångscancer"
81621 	"Misstänkt Klatskin-tumör (C22.1) (se nedan)"
81623 	"Klatskin-tumör (C22.1) (se nedan)"
81700 	"Levercellsadenom"
81701 	"Misstänkt hepatocellulär cancer"
81703 	"Hepatocellulär cancer"
81521 	"Glukagonom UNS (C75.9)"
81543 	"Blandat ö-cells och exokrint adenocarcinom"
81801 	"Misstänkt hepatocellulär och cholangiocellulär cancer, blandade"
81803 	"Hepatocellulär och cholangiocellulär cancer, blandade"
82001 	"Misstänkt adenoid-cystisk cancer"
82003 	"Adenoid-cystisk cancer"
82013 	"Kribiform cancer"
82101 	"Misstänkt adenomatös polyp med grava atypier"
82102 	"Adenomatös polyp med grava atypier"
82112 	"Tubulärt adenom med grav atypi"
82113 	"Tubulär cancer"
82200 	"Familjär polypos, adenomatos"
82201 	"Misstänkt familjär polypos, adenocarcinom"
82203 	"Familjär polypos, adenocarcinom"
