key	value
011	Patologiavdelning, Karolinska Universitetssjukhuset, Solna
013	Hematopatologilaboratorium, Karolinska Universitetssjukhuset, Solna
014	Hudpatologiavdelning, Karolinska Universitetssjukhuset, Solna
017	Cytologiavdelning, Karolinska Universitetssjukhuset, Solna
031	Patologi- och cytologiavdelning, Danderyds sjukhus, Stockholm
051	Patologi- och cytologiavdelning, Capio Diagnostik AB, Stockholm
081	Patologi- och cytologiavdelning, Karolinska Universitetssjukhuset, Huddinge
111	Ögonpatologi, S:t Eriks ögonsjukhus AB, Stockholm
851	Patologi- och cytologiavdelning, Medilab Kliniska Laboratorier AB, Täby
121	Patologiavdelning, Akademiska sjukhuset, Uppsala
125	Klinisk-kemiskt laboratorium, Akademiska sjukhuset, Uppsala
127	Cytologiavdelning, Akademiska sjukhuset, Uppsala
131	Patologiavdelning, Mälarsjukhuset, Eskilstuna
135	Klinisk-kemiskt laboratorium, Mälarsjukhuset, Eskilstuna
137	Cytologiavdelning, Mälarsjukhuset, Eskilstuna
141	Patologiavdelning, Nyköpings lasarett, Nyköping
145	Klinisk-kemiskt laboratorium, Nyköpings lasarett, Nyköping
541	Patologiavdelning, Centralsjukhuset, Karlstad
545	Klinisk-kemiskt laboratorium, Centralsjukhuset, Karlstad
547	Cytologiavdelning, Centralsjukhuset, Karlstad
551	Patologiavdelning, Universitetssjukhuset, Örebro
555	Klinisk-kemiskt laboratorium, Universitetssjukhuset, Örebro
557	Cytologiavdelning, Universitetssjukhuset, Örebro
561	Patologiavdelning, Centrallasarettet, Västerås
565	Klinisk-kemiskt laboratorium, Centrallasarettet, Västerås
567	Cytologiavdelning, Centrallasarettet, Västerås
571	Patologiavdelning, Falu lasarett, Falun
575	Klinisk-kemiskt laboratorium, Falu lasarett, Falun
577	Cytologiavdelning, Falu lasarett, Falun
611	Patologiavdelning, Länssjukhuset, Gävle
615	Klinisk-kemiskt laboratorium, Länssjukhuset, Gävle
617	Cytologiavdelning, Länssjukhuset, Gävle
211	Patologiavdelning, Universitetssjukhuset, Linköping
217	Cytologiavdelning, Universitetssjukhuset, Linköping
221	Patologiavdelning, Vrinnevisjukhuset, Norrköping
227	Cytologiavdelning, Vrinnevisjukhuset, Norrköping
231	Patologiavdelning, Länssjukhuset Ryhov, Jönköping
237	Cytologiavdelning, Länssjukhuset Ryhov, Jönköping
251	Patologiavdelning, Länssjukhuset, Kalmar
257	Cytologiavdelning, Länssjukhuset, Kalmar
265	Hematologilaboratorium, Västerviks sjukhus, Västervik
241	Patologiavdelning, Centrallasarettet, Växjö
245	Hematologilaboratorium, Centrallasarettet, Växjö
247	Cytologiavdelning, Centrallasarettet, Växjö
271	Patologiavdelning, Blekingesjukhuset, Karlskrona
275	Klinisk-kemiskt laboratorium, Blekingesjukhuset, Karlskrona
277	Cytologiavdelning Blekingesjukhuset, Karlskrona
281	Patologiavdelning, Centralsjukhuset, Kristianstad
285	Klinisk-kemiskt laboratorium, Centralsjukhuset, Kristianstad
287	Cytologiavdelning, Centralsjukhuset, Kristianstad
301	Patologiavdelning, Universitetssjukhuset, Malmö
305	Hematologilaboratorium, Universitetssjukhuset, Malmö
307	Cytologiavdelning, Universitetssjukhuset, Malmö
308	Oralpatologiavdelning, Universitetssjukhuset, Malmö
411	Patologiavdelning, Universitetssjukhuset, Lund
415	Hematologilaboratorium, Universitetssjukhuset, Lund
417	Cytologiavdelning, Universitetssjukhuset, Lund
421	Patologiavdelning, Länssjukhuset, Halmstad
425	Hematologilaboratorium, Länssjukhuset, Halmstad
427	Cytologiavdelning, Länssjukhuset, Halmstad
431	Patologiavdelning, Helsingborgs lasarett AB, Helsingborg
435	Hematologilaboratorium, Helsingborgs lasarett AB, Helsingborg
437	Cytologiavdelning, Helsingborgs lasarett AB, Helsingborg
841	Patologiavdelning, Medilab, Malmö
847	Cytologiavdelning, Medilab, Malmö
501	Patologiavdelning, SU/Sahlgrenska, Göteborg
505	Klinisk-kemiskt laboratorium, SU/Sahlgrenska, Göteborg
507	Cytologiavdelning, SU/Sahlgrenska, Göteborg
511	Patologiavdelning, Norra Älvsborgs Länssjukhus, Vänersborg/Trollhättan
515	Klinisk-kemiskt laboratorium, SU/Mölndal och Uddevalla sjukhus, Mölndal respektive Uddevalla
517	Cytologiavdelning, Norra Älvsborgs Länssjukhus, Vänersborg/Trollhättan
521	Patologiavdelning, Södra Älvsborgs sjukhus, Borås
525	Klinisk-kemiskt laboratorium, Södra och Norra Älvsborgs sjukhus, Borås respektive Vänersborg/Trollhättan
527	Cytologiavdelning, Södra Älvsborgs sjukhus, Borås
531	Patologiavdelning, Kärnsjukhuset i Skövde, Skövde
535	Klinisk-kemiskt laboratorium, Kärnsjukhuset i Skövde och Sjukhuset i Lidköping, Skövde respektive Lidköping
537	Cytologiavdelning, Kärnsjukhuset i Skövde, Skövde
621	Patologiavdelning, Sundsvalls sjukhus, Sundsvall
625	Klinisk-kemiskt laboratorium, Sundsvalls sjukhus, Sundsvall
627	Cytologiavdelning, Sundsvalls sjukhus, Sundsvall
631	Patologiavdelning, Östersunds sjukhus, Östersund
635	Klinisk-kemiskt laboratorium, Östersunds sjukhus, Östersund
